"";"X";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species"
"95";95;5,41697046920996;2,7;4,2;1,3;"versicolor"
"96";96;5,51697046920996;3;4,2;1,2;"versicolor"
"97";97;5,51697046920996;2,9;4,2;1,3;"versicolor"
"98";98;6,01697046920996;2,9;4,3;1,3;"versicolor"
"99";99;4,91697046920996;2,5;3;1,1;"versicolor"
"100";100;5,51697046920996;2,8;4,1;1,3;"versicolor"
"101";101;6,11697046920996;3,3;6;2,5;"virginica"
"102";102;5,61697046920996;2,7;5,1;1,9;"virginica"
"103";103;6,91697046920996;3;5,9;2,1;"virginica"
"104";104;6,11697046920996;2,9;5,6;1,8;"virginica"
"105";105;6,31697046920996;3;5,8;2,2;"virginica"
"106";106;7,41697046920996;3;6,6;2,1;"virginica"
"107";107;4,71697046920996;2,5;4,5;1,7;"virginica"
"108";108;7,11697046920996;2,9;6,3;1,8;"virginica"
"109";109;6,51697046920996;2,5;5,8;1,8;"virginica"
"110";110;7,01697046920996;3,6;6,1;2,5;"virginica"
"111";111;6,31697046920996;3,2;5,1;2;"virginica"
"112";112;6,21697046920996;2,7;5,3;1,9;"virginica"
"113";113;6,61697046920996;3;5,5;2,1;"virginica"
"114";114;5,51697046920996;2,5;5;2;"virginica"
"115";115;5,61697046920996;2,8;5,1;2,4;"virginica"
"116";116;6,21697046920996;3,2;5,3;2,3;"virginica"
"117";117;6,31697046920996;3;5,5;1,8;"virginica"
"118";118;7,51697046920996;3,8;6,7;2,2;"virginica"
"119";119;7,51697046920996;2,6;6,9;2,3;"virginica"
"120";120;5,81697046920996;2,2;5;1,5;"virginica"
"121";121;6,71697046920996;3,2;5,7;2,3;"virginica"
"122";122;5,41697046920996;2,8;4,9;2;"virginica"
"123";123;7,51697046920996;2,8;6,7;2;"virginica"
"124";124;6,11697046920996;2,7;4,9;1,8;"virginica"
"125";125;6,51697046920996;3,3;5,7;2,1;"virginica"
"126";126;7,01697046920996;3,2;6;1,8;"virginica"
"127";127;6,01697046920996;2,8;4,8;1,8;"virginica"
"128";128;5,91697046920996;3;4,9;1,8;"virginica"
"129";129;6,21697046920996;2,8;5,6;2,1;"virginica"
"130";130;7,01697046920996;3;5,8;1,6;"virginica"
"131";131;7,21697046920996;2,8;6,1;1,9;"virginica"
"132";132;7,71697046920996;3,8;6,4;2;"virginica"
"133";133;6,21697046920996;2,8;5,6;2,2;"virginica"
"134";134;6,11697046920996;2,8;5,1;1,5;"virginica"
"135";135;5,91697046920996;2,6;5,6;1,4;"virginica"
"136";136;7,51697046920996;3;6,1;2,3;"virginica"
"137";137;6,11697046920996;3,4;5,6;2,4;"virginica"
"138";138;6,21697046920996;3,1;5,5;1,8;"virginica"
"139";139;5,81697046920996;3;4,8;1,8;"virginica"
"140";140;6,71697046920996;3,1;5,4;2,1;"virginica"
"141";141;6,51697046920996;3,1;5,6;2,4;"virginica"
"142";142;6,71697046920996;3,1;5,1;2,3;"virginica"
"143";143;5,61697046920996;2,7;5,1;1,9;"virginica"
"144";144;6,61697046920996;3,2;5,9;2,3;"virginica"
"145";145;6,51697046920996;3,3;5,7;2,5;"virginica"
"146";146;6,51697046920996;3;5,2;2,3;"virginica"
"147";147;6,11697046920996;2,5;5;1,9;"virginica"
"148";148;6,31697046920996;3;5,2;2;"virginica"
"149";149;6,01697046920996;3,4;5,4;2,3;"virginica"
"150";150;5,71697046920996;3;5,1;1,8;"virginica"
