Index;Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;Species
82;5,742650877;2,4;3,7;1;versicolor
83;6,042650877;2,7;3,9;1,2;versicolor
84;6,242650877;2,7;5,1;1,6;versicolor
85;5,642650877;3;4,5;1,5;versicolor
86;6,242650877;3,4;4,5;1,6;versicolor
87;6,942650877;3,1;4,7;1,5;versicolor
88;6,542650877;2,3;4,4;1,3;versicolor
89;5,842650877;3;4,1;1,3;versicolor
90;5,742650877;2,5;4;1,3;versicolor
91;5,742650877;2,6;4,4;1,2;versicolor
92;6,342650877;3;4,6;1,4;versicolor
93;6,042650877;2,6;4;1,2;versicolor
94;5,242650877;2,3;3,3;1;versicolor
95;5,842650877;2,7;4,2;1,3;versicolor
96;5,942650877;3;4,2;1,2;versicolor
97;5,942650877;2,9;4,2;1,3;versicolor
98;6,442650877;2,9;4,3;1,3;versicolor
99;5,342650877;2,5;3;1,1;versicolor
100;5,942650877;2,8;4,1;1,3;versicolor
101;6,542650877;3,3;6;2,5;virginica
102;6,042650877;2,7;5,1;1,9;virginica
103;7,342650877;3;5,9;2,1;virginica
104;6,542650877;2,9;5,6;1,8;virginica
105;6,742650877;3;5,8;2,2;virginica
106;7,842650877;3;6,6;2,1;virginica
107;5,142650877;2,5;4,5;1,7;virginica
108;7,542650877;2,9;6,3;1,8;virginica
109;6,942650877;2,5;5,8;1,8;virginica
110;7,442650877;3,6;6,1;2,5;virginica
111;6,742650877;3,2;5,1;2;virginica
112;6,642650877;2,7;5,3;1,9;virginica
113;7,042650877;3;5,5;2,1;virginica
114;5,942650877;2,5;5;2;virginica
115;6,042650877;2,8;5,1;2,4;virginica
116;6,642650877;3,2;5,3;2,3;virginica
117;6,742650877;3;5,5;1,8;virginica
118;7,942650877;3,8;6,7;2,2;virginica
119;7,942650877;2,6;6,9;2,3;virginica
120;6,242650877;2,2;5;1,5;virginica
121;7,142650877;3,2;5,7;2,3;virginica
122;5,842650877;2,8;4,9;2;virginica
123;7,942650877;2,8;6,7;2;virginica
124;6,542650877;2,7;4,9;1,8;virginica
125;6,942650877;3,3;5,7;2,1;virginica
126;7,442650877;3,2;6;1,8;virginica
127;6,442650877;2,8;4,8;1,8;virginica
128;6,342650877;3;4,9;1,8;virginica
129;6,642650877;2,8;5,6;2,1;virginica
130;7,442650877;3;5,8;1,6;virginica
131;7,642650877;2,8;6,1;1,9;virginica
132;8,142650877;3,8;6,4;2;virginica
133;6,642650877;2,8;5,6;2,2;virginica
134;6,542650877;2,8;5,1;1,5;virginica
135;6,342650877;2,6;5,6;1,4;virginica
136;7,942650877;3;6,1;2,3;virginica
137;6,542650877;3,4;5,6;2,4;virginica
138;6,642650877;3,1;5,5;1,8;virginica
139;6,242650877;3;4,8;1,8;virginica
140;7,142650877;3,1;5,4;2,1;virginica
141;6,942650877;3,1;5,6;2,4;virginica
142;7,142650877;3,1;5,1;2,3;virginica
143;6,042650877;2,7;5,1;1,9;virginica
144;7,042650877;3,2;5,9;2,3;virginica
145;6,942650877;3,3;5,7;2,5;virginica
146;6,942650877;3;5,2;2,3;virginica
147;6,542650877;2,5;5;1,9;virginica
148;6,742650877;3;5,2;2;virginica
149;6,442650877;3,4;5,4;2,3;virginica
150;6,142650877;3;5,1;1,8;virginica
